Huc Cd	Huc Class Cd	Huc Nm
1010001	Cataloging Unit	Upper St. John
1010002	Cataloging Unit	Allagash
1010003	Cataloging Unit	Fish
1010004	Cataloging Unit	Aroostook
1010005	Cataloging Unit	Meduxnekeag
1020001	Cataloging Unit	West Branch Penobscot
1020002	Cataloging Unit	East Branch Penobscot
1020003	Cataloging Unit	Mattawamkeag
1020004	Cataloging Unit	Piscataquis
1020005	Cataloging Unit	Lower Penobscot
1030001	Cataloging Unit	Upper Kennebec
1030002	Cataloging Unit	Dead
1030003	Cataloging Unit	Lower Kennebec
1040001	Cataloging Unit	Upper Androscoggin
1040002	Cataloging Unit	Lower Androscoggin
1050001	Cataloging Unit	St. Croix
1050002	Cataloging Unit	Maine Coastal
1050003	Cataloging Unit	St. George-Sheepscot
1050004	Cataloging Unit	Passamaquoddy Bay-Bay of Fundy
1060001	Cataloging Unit	Presumpscot
1060002	Cataloging Unit	Saco
1060003	Cataloging Unit	Piscataqua-Salmon Falls
1070001	Cataloging Unit	Pemigewasset
1070002	Cataloging Unit	Merrimack
1070002	Cataloging Unit	Winnipesaukee River
1070003	Cataloging Unit	Contoocook
1070004	Cataloging Unit	Nashua
1070005	Cataloging Unit	Concord
1070006	Cataloging Unit	Merrimack River
1080101	Cataloging Unit	Upper Connecticut
1080102	Cataloging Unit	Passumpsic
1080103	Cataloging Unit	Waits
1080104	Cataloging Unit	Upper Connecticut-Mascoma
1080105	Cataloging Unit	White
1080106	Cataloging Unit	Black-Ottauquechee
1080107	Cataloging Unit	West
1080201	Cataloging Unit	Middle Connecticut
1080202	Cataloging Unit	Miller
1080203	Cataloging Unit	Deerfield
1080204	Cataloging Unit	Chicopee
1080205	Cataloging Unit	Lower Connecticut
1080206	Cataloging Unit	Westfield
1080207	Cataloging Unit	Farmington
1090001	Cataloging Unit	Charles
1090002	Cataloging Unit	Cape Cod
1090003	Cataloging Unit	Blackstone
1090004	Cataloging Unit	Narragansett
1090005	Cataloging Unit	Pawcatuck-Wood
1100001	Cataloging Unit	Quinebaug
1100002	Cataloging Unit	Shetucket
1100003	Cataloging Unit	Thames
1100004	Cataloging Unit	Quinnipiac
1100005	Cataloging Unit	Housatonic
1100006	Cataloging Unit	Saugatuck
1100007	Cataloging Unit	Long Island Sound
1110000	Cataloging Unit	St. Francois
2010001	Cataloging Unit	Lake George
2010002	Cataloging Unit	Otter
2010003	Cataloging Unit	Winooski
2010004	Cataloging Unit	Ausable
2010005	Cataloging Unit	Lamoille
2010006	Cataloging Unit	Great Chazy-Saranac
2010007	Cataloging Unit	Missisquoi
2020001	Cataloging Unit	Upper Hudson
2020002	Cataloging Unit	Sacandaga
2020003	Cataloging Unit	Hudson-Hoosic
2020004	Cataloging Unit	Mohawk
2020005	Cataloging Unit	Schoharie
2020006	Cataloging Unit	Middle Hudson
2020007	Cataloging Unit	Rondout
2020008	Cataloging Unit	Hudson-Wappinger
2030101	Cataloging Unit	Lower Hudson
2030102	Cataloging Unit	Bronx
2030103	Cataloging Unit	Hackensack-Passaic
2030104	Cataloging Unit	Sandy Hook-Staten Island
2030105	Cataloging Unit	Raritan
2030201	Cataloging Unit	Northern Long Island
2030202	Cataloging Unit	Southern Long Island
2030203	Cataloging Unit	Long Island Sound
2040101	Cataloging Unit	Upper Delaware
2040102	Cataloging Unit	East Branch Delaware
2040103	Cataloging Unit	Lackawaxen
2040104	Cataloging Unit	Middle Delaware-Mongaup-Brodhead
2040105	Cataloging Unit	Middle Delaware-Musconetcong
2040106	Cataloging Unit	Lehigh
2040201	Cataloging Unit	Crosswicks-Neshaminy
2040202	Cataloging Unit	Lower Delaware
2040203	Cataloging Unit	Schuylkill
2040204	Cataloging Unit	Delaware Bay
2040205	Cataloging Unit	Brandywine-Christina
2040206	Cataloging Unit	Cohansey-Maurice
2040207	Cataloging Unit	Broadkill-Smyrna
2040301	Cataloging Unit	Mullica-Toms
2040302	Cataloging Unit	Great Egg Harbor
2040303	Cataloging Unit	Chincoteague
2040304	Cataloging Unit	Eastern Lower Delmarva
2050101	Cataloging Unit	Upper Susquehanna
2050102	Cataloging Unit	Chenango
2050103	Cataloging Unit	Owego-Wappasening
2050104	Cataloging Unit	Tioga
2050105	Cataloging Unit	Chemung
2050106	Cataloging Unit	Upper Susquehanna-Tunkhannock
2050107	Cataloging Unit	Upper Susquehanna-Lackawanna
2050201	Cataloging Unit	Upper West Branch Susquehanna
2050202	Cataloging Unit	Sinnemahoning
2050203	Cataloging Unit	Middle West Branch Susquehanna
2050204	Cataloging Unit	Bald Eagle
2050205	Cataloging Unit	Pine
2050206	Cataloging Unit	Lower West Branch Susquehanna
2050301	Cataloging Unit	Lower Susquehanna-Penns
2050302	Cataloging Unit	Upper Juniata
2050303	Cataloging Unit	Raystown
2050304	Cataloging Unit	Lower Juniata
2050305	Cataloging Unit	Lower Susquehanna-Swatara
2050306	Cataloging Unit	Lower Susquehanna
2060001	Cataloging Unit	Upper Chesapeake Bay
2060002	Cataloging Unit	Chester-Sassafras
2060003	Cataloging Unit	Gunpowder-Patapsco
2060004	Cataloging Unit	Severn
2060005	Cataloging Unit	Choptank
2060006	Cataloging Unit	Patuxent
2060007	Cataloging Unit	Blackwater-Wicomico
2060008	Cataloging Unit	Nanticoke
2060009	Cataloging Unit	Pocomoke
2060010	Cataloging Unit	Chincoteague
2070001	Cataloging Unit	South Branch Potomac
2070002	Cataloging Unit	North Branch Potomac
2070003	Cataloging Unit	Cacapon-Town
2070004	Cataloging Unit	Conococheague-Opequon
2070005	Cataloging Unit	South Fork Shenandoah
2070006	Cataloging Unit	North Fork Shenandoah
2070007	Cataloging Unit	Shenandoah
2070008	Cataloging Unit	Middle Potomac-Catoctin
2070009	Cataloging Unit	Monocacy
2070010	Cataloging Unit	Middle Potomac-Anacostia-Occoquan
2070011	Cataloging Unit	Lower Potomac
2080101	Cataloging Unit	Lower Chesapeake Bay
2080102	Cataloging Unit	Great Wicomico-Piankatank
2080103	Cataloging Unit	Rapidan-Upper Rappahannock
2080104	Cataloging Unit	Lower Rappahannock
2080105	Cataloging Unit	Mattaponi
2080106	Cataloging Unit	Pamunkey
2080107	Cataloging Unit	York
2080108	Cataloging Unit	Lynnhaven-Poquoson
2080109	Cataloging Unit	Nanticoke
2080109	Cataloging Unit	Western Lower Delmarva
2080110	Cataloging Unit	Tangier
2080111	Cataloging Unit	Pokomoke-Western Lower Delmarva
2080201	Cataloging Unit	Upper James
2080202	Cataloging Unit	Maury
2080203	Cataloging Unit	Middle James-Buffalo
2080204	Cataloging Unit	Rivanna
2080205	Cataloging Unit	Middle James-Willis
2080206	Cataloging Unit	Lower James
2080207	Cataloging Unit	Appomattox
2080208	Cataloging Unit	Hampton Roads
3010101	Cataloging Unit	Upper Roanoke
3010102	Cataloging Unit	Middle Roanoke
3010103	Cataloging Unit	Upper Dan
3010104	Cataloging Unit	Lower Dan
3010105	Cataloging Unit	Banister
3010106	Cataloging Unit	Roanoke Rapids
3010107	Cataloging Unit	Lower Roanoke
3010201	Cataloging Unit	Nottoway
3010202	Cataloging Unit	Blackwater
3010203	Cataloging Unit	Chowan
3010204	Cataloging Unit	Meherrin
3010205	Cataloging Unit	Albemarle
3020101	Cataloging Unit	Upper Tar
3020102	Cataloging Unit	Fishing
3020103	Cataloging Unit	Lower Tar
3020104	Cataloging Unit	Pamlico
3020105	Cataloging Unit	Pamlico Sound
3020106	Cataloging Unit	Bogue-Core Sounds
3020201	Cataloging Unit	Upper Neuse
3020202	Cataloging Unit	Middle Neuse
3020203	Cataloging Unit	Contentnea
3020204	Cataloging Unit	Lower Neuse
3020301	Cataloging Unit	White Oak River
3020302	Cataloging Unit	New River
3030001	Cataloging Unit	New
3030002	Cataloging Unit	Haw
3030003	Cataloging Unit	Deep
3030004	Cataloging Unit	Upper Cape Fear
3030005	Cataloging Unit	Lower Cape Fear
3030006	Cataloging Unit	Black
3030007	Cataloging Unit	Northeast Cape Fear
3040101	Cataloging Unit	Upper Yadkin
3040102	Cataloging Unit	South Yadkin
3040103	Cataloging Unit	Lower Yadkin
3040104	Cataloging Unit	Upper Pee Dee
3040105	Cataloging Unit	Rocky
3040201	Cataloging Unit	Lower Pee Dee
3040202	Cataloging Unit	Lynches
3040203	Cataloging Unit	Lumber
3040204	Cataloging Unit	Little Pee Dee
3040205	Cataloging Unit	Black
3040206	Cataloging Unit	Waccamaw
3040207	Cataloging Unit	Carolina Coastal-Sampit
3040208	Cataloging Unit	Coastal Carolina
3050101	Cataloging Unit	Upper Catawba
3050102	Cataloging Unit	South Fork Catawba
3050103	Cataloging Unit	Lower Catawba
3050104	Cataloging Unit	Wateree
3050105	Cataloging Unit	Upper Broad
3050106	Cataloging Unit	Lower Broad
3050107	Cataloging Unit	Tyger
3050108	Cataloging Unit	Enoree
3050109	Cataloging Unit	Saluda
3050110	Cataloging Unit	Congaree
3050111	Cataloging Unit	Lake Marion
3050112	Cataloging Unit	Santee
3050201	Cataloging Unit	Cooper
3050202	Cataloging Unit	South Carolina Coastal
3050203	Cataloging Unit	North Fork Edisto
3050204	Cataloging Unit	South Fork Edisto
3050205	Cataloging Unit	Four Hole Swamp
3050206	Cataloging Unit	Edisto River
3050207	Cataloging Unit	Salkehatchie
3050208	Cataloging Unit	Broad-St. Helena
3050209	Cataloging Unit	Bulls Bay
3050210	Cataloging Unit	St. Helena Island
3060101	Cataloging Unit	Seneca
3060102	Cataloging Unit	Tugaloo
3060103	Cataloging Unit	Upper Savannah
3060104	Cataloging Unit	Broad
3060105	Cataloging Unit	Little
3060105	Cataloging Unit	Upper French Broad
3060106	Cataloging Unit	Middle Savannah
3060107	Cataloging Unit	Stevens
3060108	Cataloging Unit	Brier
3060109	Cataloging Unit	Lower Savannah
3060110	Cataloging Unit	Calibogue Sound-Wright River
3060201	Cataloging Unit	Upper Ogeechee
3060202	Cataloging Unit	Lower Ogeechee
3060203	Cataloging Unit	Canoochee
3060204	Cataloging Unit	Ogeechee Coastal
3070101	Cataloging Unit	Upper Oconee
3070102	Cataloging Unit	Lower Oconee
3070103	Cataloging Unit	Upper Ocmulgee
3070104	Cataloging Unit	Lower Ocmulgee
3070105	Cataloging Unit	Little Ocmulgee
3070106	Cataloging Unit	Altamaha
3070107	Cataloging Unit	Ohoopee
3070201	Cataloging Unit	Satilla
3070202	Cataloging Unit	Little Satilla
3070203	Cataloging Unit	Cumberland-St. Simons
3070204	Cataloging Unit	St. Marys
3070205	Cataloging Unit	Nassau
3080101	Cataloging Unit	Upper St. Johns
3080102	Cataloging Unit	Oklawaha
3080103	Cataloging Unit	Lower St. Johns
3080201	Cataloging Unit	Daytona-St. Augustine
3080202	Cataloging Unit	Cape Canaveral
3080203	Cataloging Unit	Vero Beach
3090101	Cataloging Unit	Kissimmee
3090102	Cataloging Unit	Northern Okeechobee Inflow
3090103	Cataloging Unit	Western Okeechobee Inflow
3090201	Cataloging Unit	Lake Okeechobee
3090202	Cataloging Unit	Everglades
3090203	Cataloging Unit	Florida Bay-Florida Keys
3090204	Cataloging Unit	Big Cypress Swamp
3090205	Cataloging Unit	Caloosahatchee
