,site_no,dec_lat_va,dec_long_va,alt_va,Et,pi,xh,yh,sxh,syh,wx,wy
1,5211000,47.23216599,-93.5302144,1242.03,1242.03,1,58663.76712,-116167.3322,58663.76712,-116167.3322,47.23216599,-93.5302144
2,5227500,46.5405128,-93.7074712,1182.41,2424.44,0.487704377,55029.96774,-110800.651,113693.7349,-226967.9832,46.8948437,-93.61666332
3,5267000,45.8260765,-94.3552782,1040,3464.44,0.300192816,47659.11956,-98129.48933,161352.8544,-325097.4725,46.57400747,-93.8383902
4,5288500,45.1266318,-93.2968947,804.74,4269.18,0.188499899,36315.20567,-75079.74304,197668.0601,-400177.2156,46.3011773,-93.73631835
5,5331000,44.9444444,-93.0881111,683.77,4952.95,0.138053079,30731.66275,-63650.85773,228399.7228,-463828.0733,46.11387614,-93.64683134
6,5344500,44.74580095,-92.8002026,649.67,8906.12,0.072946468,29070.0045,-60289.50762,405515.7385,-838315.6148,45.5322563,-94.12803946
7,5378500,44.0555186,-91.6376487,639.64,9545.76,0.067007761,28179.67192,-58615.10561,433695.4104,-896930.7204,45.43330342,-93.96116395
8,5420500,41.78058635,-90.252073,562.68,10108.44,0.055664376,23509.10033,-50783.03644,457204.5108,-947713.7568,45.2299772,-93.75469972
9,5476000,43.6207916,-94.9851299,1292.07,1292.07,1,56361.1162,-122727.4368,56361.1162,-122727.4368,43.6207916,-94.9851299
10,5476750,42.7194158,-94.2205182,1053.54,2345.61,0.449153951,45006.61332,-99265.08474,101367.7295,-221992.5215,43.2159351,-94.64170153
11,5481650,41.6805439,-93.6682755,787.42,3133.03,0.251328586,32820.09388,-73756.27349,134187.8234,-295748.795,42.8300474,-94.39705174
12,5485500,41.57776716,-93.6054951,762.52,3895.55,0.195741295,31703.87901,-71376.06212,165891.7024,-367124.8572,42.58492444,-94.24211142
13,5490500,40.72780589,-91.959617,547.36,4442.91,0.123198534,22292.77183,-50335.01596,188184.4742,-417459.8731,42.35613016,-93.96091146
17,5449500,42.75994409,-93.6218489,1143.35,1143.35,1,48889.58208,-107042.5409,48889.58208,-107042.5409,42.75994409,-93.6218489
18,5451500,42.06582096,-92.9076997,853.1,1996.45,0.427308473,35886.35186,-79259.55861,84775.93394,-186302.0996,42.4633394,-93.3166869
19,5454500,41.6566832,-91.5410017,617.27,2613.72,0.236165312,25713.42084,-56505.51412,110489.3548,-242807.6137,42.27283518,-92.89733165
20,5455700,41.42377778,-91.4785278,588.16,3201.88,0.183692081,24363.80914,-53804.01091,134853.1639,-296611.6246,42.11687006,-92.63670862
21,5465500,41.1780861,-91.1820939,538.17,3740.05,0.143893798,22160.8106,-49071.46747,157013.9745,-345683.0921,41.98178487,-92.42739858
22,5292000,45.29552046,-96.4442231,956.38,956.38,1,43319.72986,-92237.32609,43319.72986,-92237.32609,45.29552046,-96.4442231
23,5311000,44.9332903,-95.7336374,909.12,1865.5,0.487333155,40849.75288,-87033.36443,84169.48274,-179270.6905,45.11899369,-96.09793113
24,5325000,44.1688553,-94.0032886,747.92,2613.42,0.286184387,33034.77026,-70306.93961,117204.253,-249577.6301,44.84707892,-95.49847714
25,5330000,44.69301845,-93.641902,690.08,3303.5,0.208893598,30841.75817,-64620.40373,148046.0112,-314198.0339,44.81489667,-95.11065048
26,5421000,42.46359796,-91.8951722,882.85,882.85,1,37488.98746,-81129.65278,37488.98746,-81129.65278,42.46359796,-91.8951722
27,5422000,41.76697439,-90.5348588,598.81,1481.66,0.40414805,25010.48193,-54213.1788,62499.46939,-135342.8316,42.1820589,-91.34540419
